lon lat time count friction misfit shape s1a s1p s2a s2p s3a s3p
130.0 31.5 2002.0 132 0.5 23.847168 0.44865474 59.533447 2.5105515 216.2954 87.26813 329.48627 1.0764923
131.0 31.5 2002.0 162 0.65 31.316496 0.4050545 65.78314 10.275162 236.1076 79.57979 335.47232 1.7139893
132.0 31.5 2002.0 44 0.7 53.430702 0.3171986 88.813385 8.868103 250.6562 80.675125 358.36682 2.8596497
129.0 32.5 2002.0 36 0.5 53.553223 0.40822083 243.92398 10.933144 28.014038 76.58562 152.43176 7.6774673
130.0 32.5 2002.0 452 0.5 30.315577 0.20730232 251.48138 0.18666077 347.7465 88.28992 161.47583 1.6997681
131.0 32.5 2002.0 605 0.65 31.798409 0.3442071 74.5119 7.33374 267.96646 82.46164 164.73523 1.7348709
132.0 32.5 2002.0 202 0.7 37.099308 0.60419065 81.89621 7.7309875 264.00696 82.263794 171.93445 0.28147888
129.0 33.5 2002.0 31 0.5 52.715065 0.47375897 256.65564 64.102646 53.537994 24.062187 147.59741 9.008415
130.0 33.5 2002.0 345 0.45 31.246393 0.16612244 255.73566 11.3845215 67.24133 78.49254 165.40222 1.6553726
131.0 33.5 2002.0 592 0.6 32.924255 0.41218638 258.52356 0.93218994 4.6484375 86.647125 168.47107 3.2204285
132.0 33.5 2002.0 324 0.7 31.520374 0.7644811 263.5757 0.9764786 2.1703186 83.49321 173.46558 6.432434
133.0 33.5 2002.0 88 0.7 39.937557 0.9156771 273.59787 1.8408813 31.201477 86.03195 183.48479 3.5139084
134.0 33.5 2002.0 68 0.8 42.705784 0.8821634 278.6072 3.1882553 71.67316 86.424774 188.51717 1.6161041
135.0 33.5 2002.0 541 0.55 27.394552 0.71472627 107.437744 10.2391205 198.22662 4.3586807 310.98395 78.85326
136.0 33.5 2002.0 556 0.5 29.287579 0.6288313 105.12451 12.286308 195.99016 3.9681015 303.57626 77.06964
137.0 33.5 2002.0 42 0.4 31.119522 0.7564794 55.189514 7.0362473 149.04236 28.564178 312.62857 60.423492
130.0 34.5 2002.0 26 0.8 40.40284 0.5394007 254.05046 22.924591 108.187195 62.93474 349.92368 13.60154
131.0 34.5 2002.0 180 0.6 31.057634 0.8443967 261.2466 7.430336 85.345276 82.55083 351.31528 0.52646637
132.0 34.5 2002.0 458 0.75 32.20422 0.80589163 272.61102 4.832321 88.879395 85.15741 182.5845 0.3136673
133.0 34.5 2002.0 1275 0.8 31.048367 0.7459368 288.07288 5.872841 158.22021 80.88089 18.791473 6.9516068
134.0 34.5 2002.0 1149 0.8 33.720646 0.7947237 287.9105 6.351265 159.5097 79.84085 18.795044 7.8962708
135.0 34.5 2002.0 895 0.7 32.605587 0.8330998 99.852325 4.951973 190.3024 5.1800995 326.3638 82.824326
136.0 34.5 2002.0 849 0.6 31.622213 0.74807876 99.18103 6.591385 189.87794 6.00885 321.8933 81.0627
137.0 34.5 2002.0 134 0.7 29.898626 0.82098246 76.615906 4.159912 167.3902 10.525398 325.3418 78.66484
131.0 35.5 2002.0 32 0.6 34.51147 0.67887884 262.201 7.351181 150.15125 71.03456 354.5156 17.382584
132.0 35.5 2002.0 294 0.75 32.532677 0.72770286 277.3263 5.925827 120.61124 83.55295 7.5891113 2.5303955
133.0 35.5 2002.0 1200 0.8 30.177675 0.73388535 288.62683 6.0793915 159.74573 80.37009 19.423737 7.440071
134.0 35.5 2002.0 1108 0.8 33.549282 0.79173833 288.4478 6.5617447 162.36853 78.94786 19.474487 8.854118
135.0 35.5 2002.0 410 0.8 39.088436 0.97808874 273.1978 1.4487 4.269043 36.47332 181.24002 53.488358
136.0 35.5 2002.0 374 0.65 31.75116 0.91503584 272.77045 1.8364639 182.62328 4.5801086 24.563782 85.063965
137.0 35.5 2002.0 173 0.7 30.905203 0.82386017 276.05582 1.6367264 6.232422 6.156761 171.23108 83.62775
138.0 35.5 2002.0 50 0.7 32.7681 0.9118742 298.4753 2.6735 45.62628 81.00206 208.0714 8.585281
134.0 36.5 2002.0 20 0.8 50.77001 0.8088189 304.2766 4.5955963 203.4236 66.8824 36.194397 22.60382
135.0 36.5 2002.0 48 0.8 51.32796 0.8963844 102.52405 5.3087845 193.25179 7.7832413 338.54602 80.56
136.0 36.5 2002.0 78 0.75 35.950653 0.87073904 96.2717 4.151375 186.96227 9.427612 342.77213 79.6835
137.0 36.5 2002.0 85 0.7 31.87336 0.80381095 108.36978 0.058998108 198.3862 15.530258 18.15747 74.469604
138.0 36.5 2002.0 90 0.75 35.150356 0.89020854 290.39984 6.3782043 21.223877 7.3311768 159.76898 80.259445
139.0 36.5 2002.0 127 0.55 34.128235 0.6828094 285.9914 6.664276 16.40451 3.5312881 134.15527 82.450424
140.0 36.5 2002.0 78 0.4 26.337841 0.61019886 289.11176 1.7011795 19.20813 3.2416458 171.46082 86.338196
138.0 37.5 2002.0 58 0.7 43.3975 0.60781026 286.6204 8.924057 17.174408 3.5238342 128.5133 80.394775
139.0 37.5 2002.0 196 0.45 32.414593 0.5862216 284.3214 4.125984 14.726471 5.5972443 158.10815 83.03854
140.0 37.5 2002.0 185 0.45 26.620514 0.5603066 286.84946 1.5656815 16.936798 3.192131 170.75702 86.443756
141.0 37.5 2002.0 43 0.4 23.097797 0.5708707 294.32993 0.4520874 24.38858 7.3929596 200.85007 82.59303
139.0 38.5 2002.0 91 0.45 34.04063 0.5034363 285.77594 3.4665375 16.175873 6.573105 168.13159 82.56166
140.0 38.5 2002.0 161 0.55 29.67781 0.5883678 286.1098 2.7446594 16.386292 5.7484665 170.69629 83.6259
141.0 38.5 2002.0 107 0.45 32.829994 0.5043431 287.37436 3.2314453 17.450806 1.353447 130.14731 86.49596
142.0 38.5 2002.0 28 0.3 41.43133 0.18452522 282.34778 4.7150803 12.506775 1.927002 124.67566 84.90468
140.0 39.5 2002.0 91 0.7 38.126358 0.47339517 280.1183 1.7105408 190.1031 0.50829315 83.55887 88.21544
141.0 39.5 2002.0 129 0.55 41.472866 0.41286853 100.10971 0.27090454 10.100128 2.0248337 197.72697 87.95712
142.0 39.5 2002.0 57 0.25 45.8401 0.28600344 104.428894 1.2095566 14.3628235 3.1265717 215.55367 86.64717
140.0 40.5 2002.0 59 0.5 34.841045 0.2747325 88.018524 3.1149292 178.05469 0.66483307 280.09033 86.81474
141.0 40.5 2002.0 75 0.45 39.873253 0.2837127 90.11435 6.5961 359.62265 4.244461 237.07376 82.14601
142.0 40.5 2002.0 32 0.4 47.11731 0.31623173 109.66989 6.5588303 18.809479 7.4408646 240.65283 80.05638
